,joy,sadness,disgust,contempt,anger,fear,surprise,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,lidTighten,jawDrop,dimpler,eyeWiden,cheekRaise,lipStretch,pain
149,98,0,40,0,0,0,90,26,100,100,1,98,0,37,99,0,1,0,5,0,100,0,0,97,0,4,0,100,24,26,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1
151,0,100,0,1,0,0,0,-56,92,0,99,0,100,1,0,3,0,35,0,0,0,0,0,98,24,8,0,0,0,0,1
152,0,0,0,97,0,4,41,-16,100,0,1,97,0,0,0,0,100,13,29,0,1,91,0,80,0,0,42,100,32,2,0
153,100,0,0,0,0,0,12,48,100,100,1,26,0,1,97,0,1,0,0,0,73,0,0,99,0,17,0,76,1,0,0
154,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,97,91,0,0,0,1,3,0,0
155,88,0,0,0,0,0,0,57,100,86,1,5,16,13,0,0,42,100,9,0,0,1,0,96,1,1,9,0,2,0,1
156,99,0,73,0,0,0,68,1,100,100,1,88,0,61,98,0,3,0,43,0,100,0,0,98,0,1,0,9,6,58,0
157,0,44,1,0,0,0,0,-100,96,0,34,0,45,14,0,100,1,0,0,1,0,0,0,97,0,1,0,0,0,0,1
158,100,0,85,0,0,0,15,48,100,100,1,0,0,95,1,0,0,0,0,0,100,0,0,95,13,100,0,0,100,0,0
159,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,4,26,3,0,0,0,93,0,0,0,0,0,0,0
160,16,0,0,0,0,0,0,38,72,57,0,1,0,0,31,0,0,0,0,0,0,0,2,98,0,0,1,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,0,0,94,0,0,0,0,0,0,0
162,0,10,1,0,0,0,0,-88,59,0,49,0,5,5,1,100,0,3,0,0,0,1,0,92,0,1,0,0,0,0,1
163,98,0,0,0,0,0,4,86,100,100,0,42,0,4,0,0,6,0,0,30,2,0,0,50,1,0,1,100,0,9,0
164,0,16,16,1,3,0,0,0,100,8,2,1,95,11,1,0,0,1,0,0,1,1,0,94,2,0,2,0,73,27,1
165,0,0,0,0,0,0,0,17,2,24,0,0,0,0,0,0,6,1,0,0,0,0,0,76,0,0,0,0,0,2,0
166,99,0,0,0,0,0,0,44,100,100,75,0,17,1,0,0,81,0,0,1,2,0,0,99,1,0,0,0,0,11,1
167,0,0,0,6,0,0,0,0,1,0,2,7,1,0,0,0,0,0,23,8,0,32,0,96,0,0,100,0,0,97,0
168,0,0,0,97,0,20,31,0,29,2,4,87,0,0,0,0,0,0,0,0,0,92,0,86,0,2,23,99,7,69,0
169,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,98,0,2,17,9,0,2,0
170,0,0,100,0,90,0,0,0,100,51,3,0,100,100,93,9,0,0,0,0,98,0,0,92,100,1,0,0,100,0,1
171,0,0,0,99,0,0,30,-25,100,0,0,96,0,0,0,0,1,7,95,19,0,99,0,98,0,0,71,60,0,0,0
172,100,0,0,0,0,0,0,99,100,99,2,0,0,0,0,0,0,0,0,0,6,0,0,98,0,0,0,0,4,0,0
173,0,14,0,1,3,0,0,-19,48,0,0,0,90,0,0,0,0,0,9,0,0,0,0,98,0,0,4,0,0,3,1
174,0,92,41,1,76,0,0,-27,100,0,97,0,100,1,3,0,0,0,0,0,96,0,47,98,89,51,0,0,60,0,1
175,0,65,1,1,0,0,0,-100,99,0,22,0,67,2,0,99,17,0,4,0,0,0,0,99,0,0,1,0,0,0,1
176,100,0,0,0,0,0,0,33,100,100,8,0,0,0,0,0,2,0,100,100,2,0,0,98,0,1,82,0,96,100,0
177,3,0,0,0,0,0,0,42,35,46,0,0,0,0,0,0,1,2,0,1,1,0,0,98,0,0,0,0,0,0,0
178,99,0,3,0,0,0,87,32,100,100,0,92,0,23,97,0,0,0,12,1,100,0,0,97,0,3,0,98,0,19,0
179,0,0,0,0,0,0,0,-7,4,0,8,1,0,0,0,0,0,0,0,56,0,0,0,99,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,52,2,0,1,0,0,0,0,5,100,0,3,0,1,0,74,0,0,0,0,0,0,0
181,0,0,98,1,0,0,0,-53,100,40,0,0,24,96,1,0,87,100,64,0,7,37,0,85,1,30,0,0,4,0,1
182,100,0,0,0,0,0,7,55,100,100,0,22,0,18,61,0,0,0,11,0,100,0,0,97,0,0,0,0,1,78,0
183,98,0,0,0,0,0,97,98,100,100,0,100,0,0,2,0,0,0,1,1,95,0,0,79,0,70,1,100,0,2,0
184,100,0,82,0,0,0,1,36,100,100,4,0,0,98,0,0,28,0,5,0,78,0,0,99,8,1,0,0,100,87,0
185,0,30,1,1,11,0,0,-20,53,0,0,0,100,0,0,0,0,1,0,0,0,0,0,90,9,2,0,0,0,0,0
186,100,0,0,0,0,0,46,76,100,100,74,2,0,0,0,0,0,0,0,1,100,0,0,92,0,99,0,0,87,19,1
187,93,0,100,0,1,0,0,0,100,100,0,2,69,100,100,0,0,0,0,0,99,0,0,98,83,100,0,0,100,0,1
188,0,0,0,0,0,0,1,4,6,10,0,35,0,0,0,0,0,25,0,0,2,0,99,88,0,10,0,0,0,0,0
189,0,0,1,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,1,0,17,0,0,98,0,0,0,0,0,0,0
190,100,0,0,0,0,0,0,23,100,100,0,0,2,84,0,0,0,0,0,99,2,0,32,76,3,0,18,0,98,4,1
191,0,19,100,1,95,0,0,-79,100,1,1,0,100,100,0,0,8,1,0,0,17,0,50,99,98,3,0,0,2,0,1
192,0,3,100,1,98,0,0,-46,100,7,16,0,100,100,100,0,4,0,0,0,94,0,0,99,93,89,0,0,99,0,1
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,97,0,0,0,0,0,0,0
195,0,0,0,1,0,0,1,-54,37,0,64,14,0,0,0,0,0,0,79,56,0,11,0,96,0,0,97,1,0,28,0
196,0,100,0,4,0,0,0,-100,100,0,94,0,100,0,0,100,0,0,1,0,0,12,0,99,1,0,6,0,0,0,1
197,100,0,0,0,0,0,0,93,100,100,9,5,0,0,7,0,0,0,1,0,5,0,0,97,0,0,0,0,0,1,1
198,99,0,6,0,0,0,7,43,100,93,30,15,6,59,0,0,33,0,0,0,56,0,0,98,2,61,0,0,7,0,1
199,100,0,84,0,0,0,8,36,100,100,6,18,0,99,2,0,7,0,17,2,100,0,0,96,14,13,1,0,100,7,0
200,0,0,0,0,0,0,0,29,9,33,0,3,0,1,0,0,0,0,0,0,4,0,0,98,0,2,0,0,0,0,0
201,100,0,100,0,0,0,12,0,100,99,0,1,4,100,100,1,0,65,0,0,100,0,0,86,22,100,0,0,100,0,1
202,0,0,0,0,0,4,1,30,10,35,1,4,0,0,0,0,1,1,0,2,0,0,0,99,0,0,0,93,0,0,0
203,53,0,0,0,0,0,39,90,100,87,0,98,0,0,0,0,8,0,1,2,0,0,0,81,0,0,0,88,18,0,0
204,0,92,46,2,10,0,0,-60,100,0,99,0,100,0,13,0,0,0,0,0,98,3,0,99,23,50,0,0,3,0,1
205,0,0,1,0,0,0,1,-12,23,7,0,0,1,0,26,0,33,68,1,22,83,0,0,92,0,3,25,0,0,0,0
206,0,0,0,0,0,0,0,0,48,0,2,0,10,0,0,0,29,89,1,0,0,5,0,83,0,0,98,0,0,2,1
207,100,0,0,0,0,0,5,100,100,100,0,1,0,0,0,0,0,1,0,0,100,0,0,95,0,33,0,0,43,29,0
208,0,57,100,1,77,0,0,-82,100,0,29,1,100,100,100,100,8,1,0,0,100,0,0,95,33,100,0,0,40,0,1
